date,family,colleagues,friends,strangers,nrow,total
2020-04-16,0.3067951318458418,0.43610547667342797,0.21602434077079108,0.6850912778904665,1972,1.6440162271805274
2020-04-30,0.37385512073272276,0.7335553705245629,0.3855120732722731,1.077435470441299,1201,2.5703580349708575
2020-05-14,0.3471552555448409,0.7049180327868853,0.24300867888138863,1.66923818707811,1037,2.9643201542912245
2020-05-28,0.5729783037475346,0.8520710059171598,0.4368836291913215,1.6696252465483234,1014,3.5315581854043394
2020-06-11,0.632172131147541,0.6547131147540983,0.5307377049180327,1.165983606557377,976,2.9836065573770494
2020-06-25,0.7165605095541401,0.8455414012738853,0.6528662420382165,2.3646496815286624,628,4.579617834394904
2020-07-09,0.7821576763485477,0.946058091286307,0.6307053941908713,1.6099585062240664,482,3.9688796680497926
2020-07-23,0.9055441478439425,1.3634496919917864,0.8583162217659137,2.4640657084188913,487,5.591375770020534
2020-08-06,1.0587044534412955,1.45748987854251,0.8927125506072875,3.0991902834008096,494,6.508097165991903
2020-08-20,1.189795918367347,1.2714285714285714,1.0918367346938775,3.573469387755102,490,7.126530612244898
2020-09-03,1.1781376518218623,1.8724696356275303,0.9858299595141701,3.1417004048582995,494,7.178137651821863
2020-09-17,0.9449275362318841,1.701449275362319,0.9159420289855073,5.368115942028986,345,8.930434782608696
2020-10-01,0.8627450980392157,2.320261437908497,1.2941176470588236,4.69281045751634,153,9.169934640522875
2020-10-15,0.8790983606557377,1.1823770491803278,0.8586065573770492,3.0614754098360657,488,5.98155737704918
2020-10-29,0.7359550561797753,1.5926966292134832,0.7134831460674157,3.210674157303371,356,6.252808988764045
2020-11-12,0.5,1.3028169014084507,1.1267605633802817,1.4647887323943662,142,4.394366197183099
2020-11-26,0.6836935166994106,1.043222003929273,0.7603143418467584,6.6286836935167,509,9.115913555992142
2020-12-10,0.8044692737430168,1.1983240223463687,0.8156424581005587,2.363128491620112,358,5.181564245810056
2020-12-24,1.118881118881119,1.6293706293706294,0.8601398601398601,2.958041958041958,143,6.566433566433567
2021-01-07,0.45517241379310347,1.1379310344827587,0.46206896551724136,1.3862068965517242,145,3.4413793103448276
2021-01-21,0.4428969359331476,0.871866295264624,0.31754874651810583,1.3621169916434541,359,2.9944289693593316
