Total,Total,Total,All Denmark,5843347
Total,Total,Total,Region Hovedstaden,1856061
Total,Total,Total,Copenhagen,638678
Total,Total,Total,Frederiksberg,103284
Total,Total,Total,Drag�r,14575
Total,Total,Total,T�rnby,42698
Total,Total,Total,Albertslund,27192
Total,Total,Total,Ballerup,49110
Total,Total,Total,Br�ndby,35387
Total,Total,Total,Gentofte,74319
Total,Total,Total,Gladsaxe,69171
Total,Total,Total,Glostrup,23473
Total,Total,Total,Herlev,28848
Total,Total,Total,Hvidovre,53329
Total,Total,Total,H�je-Taastrup,52212
Total,Total,Total,Ish�j,23090
Total,Total,Total,Lyngby-Taarb�k,56933
Total,Total,Total,R�dovre,41195
Total,Total,Total,Vallensb�k,16545
Total,Total,Total,Aller�d,25878
Total,Total,Total,Egedal,43676
Total,Total,Total,Fredensborg,41047
Total,Total,Total,Frederikssund,45619
Total,Total,Total,Fures�,40950
Total,Total,Total,Gribskov,41032
Total,Total,Total,Halsn�s,31450
Total,Total,Total,Helsing�r,63063
Total,Total,Total,Hiller�d,51746
Total,Total,Total,H�rsholm,24810
Total,Total,Total,Rudersdal,57009
Total,Total,Total,Bornholm,39654
Total,Total,Total,Christians�,88
Total,Total,Total,Region Sj�lland,839619
Total,Total,Total,Greve,50541
Total,Total,Total,K�ge,61525
Total,Total,Total,Lejre,28383
Total,Total,Total,Roskilde,88765
Total,Total,Total,Solr�d,23473
Total,Total,Total,Faxe,36803
Total,Total,Total,Guldborgsund,60345
Total,Total,Total,Holb�k,72030
Total,Total,Total,Kalundborg,48445
Total,Total,Total,Lolland,40395
Total,Total,Total,N�stved,83327
Total,Total,Total,Odsherred,32923
Total,Total,Total,Ringsted,35005
Total,Total,Total,Slagelse,79287
Total,Total,Total,Sor�,29933
Total,Total,Total,Stevns,23205
Total,Total,Total,Vordingborg,45234
Total,Total,Total,Region Syddanmark,1224100
Total,Total,Total,Assens,40880
Total,Total,Total,Faaborg-Midtfyn,51639
Total,Total,Total,Kerteminde,23835
Total,Total,Total,Langeland,12361
Total,Total,Total,Middelfart,39290
Total,Total,Total,Nordfyns,29527
Total,Total,Total,Nyborg,31965
Total,Total,Total,Odense,205018
Total,Total,Total,Svendborg,58847
Total,Total,Total,�r�,6004
Total,Total,Total,Billund,26488
Total,Total,Total,Esbjerg,115577
Total,Total,Total,Fan�,3449
Total,Total,Total,Fredericia,51370
Total,Total,Total,Haderslev,55339
Total,Total,Total,Kolding,93119
Total,Total,Total,S�nderborg,73796
Total,Total,Total,T�nder,37022
Total,Total,Total,Varde,49683
Total,Total,Total,Vejen,42763
Total,Total,Total,Vejle,117541
Total,Total,Total,Aabenraa,58587
Total,Total,Total,Region Midtjylland,1333245
Total,Total,Total,Favrskov,48493
Total,Total,Total,Hedensted,46876
Total,Total,Total,Horsens,92554
Total,Total,Total,Norddjurs,36974
Total,Total,Total,Odder,23028
Total,Total,Total,Randers,98347
Total,Total,Total,Sams�,3694
Total,Total,Total,Silkeborg,95980
Total,Total,Total,Skanderborg,63455
Total,Total,Total,Syddjurs,43310
Total,Total,Total,Aarhus,352348
Total,Total,Total,Herning,89320
Total,Total,Total,Holstebro,58686
Total,Total,Total,Ikast-Brande,41567
Total,Total,Total,Lemvig,19560
Total,Total,Total,Ringk�bing-Skjern,56155
Total,Total,Total,Skive,45409
Total,Total,Total,Struer,20820
Total,Total,Total,Viborg,96669
Total,Total,Total,Region Nordjylland,590322
Total,Total,Total,Br�nderslev,36140
Total,Total,Total,Frederikshavn,58933
Total,Total,Total,Hj�rring,64099
Total,Total,Total,Jammerbugt,38166
Total,Total,Total,L�s�,1776
Total,Total,Total,Mariagerfjord,41584
Total,Total,Total,Mors�,20078
Total,Total,Total,Rebild,30504
Total,Total,Total,Thisted,43126
Total,Total,Total,Vesthimmerlands,36343
Total,Total,Total,Aalborg,219573
